"Season" "Team" "Player" "Position" "Matches" "Goals"
"5897" "2012-13" "AtlÇtico de Madrid" "Arda Turan" "Midfielder" 9 5
"5898" "2012-13" "AtlÇtico de Madrid" "Mario Su†rez Mata" "Midfielder" 16 1
"5899" "2012-13" "AtlÇtico de Madrid" "Radamel Falcao Garc°a Z†rate" "Forward" 28 28
"5900" "2012-13" "AtlÇtico de Madrid" "Diego Da Silva Costa" "Forward" 8 10
"5901" "2012-13" "AtlÇtico de Madrid" "Adri†n L¢pez µlvarez" "Forward" 2 3
"5902" "2012-13" "AtlÇtico de Madrid" "Cristian Gabriel Rodr°guez Barrotti" "Midfielder" 3 1
"5903" "2012-13" "AtlÇtico de Madrid" "Ra£l Garc°a Escudero" "Midfielder" 5 5
"5904" "2012-13" "AtlÇtico de Madrid" "Tiago Cardoso Mendes" "Midfielder" 12 2
"5905" "2012-13" "AtlÇtico de Madrid" "Daniel Alberto D°az" "Defender" 7 0
"5908" "2012-13" "AtlÇtico de Madrid" "Emiliano Adri†n Insua Zapata" "Defender" 2 0
"5909" "2012-13" "AtlÇtico de Madrid" "Javier Manquillo Gait†n" "Midfielder" 2 0
"5910" "2012-13" "AtlÇtico de Madrid" "Domingo Cisma Gonz†lez" "Midfielder" 1 0
"5912" "2012-13" "AtlÇtico de Madrid" "Jorge Pulido Mayoral" "Defender" 1 0
"5915" "2012-13" "Real Sociedad" "Carlos Mart°nez D°ez" "Midfielder" 26 1
"5916" "2012-13" "Real Sociedad" "Alberto De la Bella Madue§o" "Midfielder" 33 3
"5917" "2012-13" "Real Sociedad" "Mikel Gonz†lez De Mart°n" "Defender" 34 2
"5918" "2012-13" "Real Sociedad" "I§igo Mart°nez Berridi" "Defender" 34 4
"5919" "2012-13" "Real Sociedad" "Xabier Prieto Argarate" "Midfielder" 22 9
"5920" "2012-13" "Real Sociedad" "Antoine Griezmann" "Midfielder" 25 10
"5921" "2012-13" "Real Sociedad" "Asier Illarramendi Andonegi" "Midfielder" 17 0
"5922" "2012-13" "Real Sociedad" "Markel Bergara Larra§aga" "Midfielder" 22 0
"5923" "2012-13" "Real Sociedad" "Carlos Alberto Vela Garrido" "Forward" 15 14
"5924" "2012-13" "Real Sociedad" "Imanol Agirretxe Arruti" "Forward" 16 14
"5925" "2012-13" "Real Sociedad" "Gonzalo Castro Irizabal" "Midfielder" 1 6
"5926" "2012-13" "Real Sociedad" "RubÇn Pardo GutiÇrrez" "Midfielder" 4 0
"5927" "2012-13" "Real Sociedad" "Diego Ifr†n Sala" "Forward" 1 2
"5928" "2012-13" "Real Sociedad" "David Zurutuza Veillet" "Midfielder" 2 2
"5929" "2012-13" "Real Sociedad" "Daniel Estrada Aguirrezabalaga" "Midfielder" 8 0
"5931" "2012-13" "Real Sociedad" "Ion Ansotegi Gorostola" "Defender" 4 0
"5932" "2012-13" "Real Sociedad" "Gorka Elustondo Urkola" "Midfielder" 3 1
"5934" "2012-13" "Real Sociedad" "Liassine Cadamuro-Betaiba" "Defender" 2 0
"5935" "2012-13" "Valencia" "Joao Pedro Da Silva Pereira" "Midfielder" 24 0
"5936" "2012-13" "Valencia" "Aly Cissokho" "Midfielder" 14 2
"5937" "2012-13" "Valencia" "Adil Rami" "Defender" 20 0
"5938" "2012-13" "Valencia" "Ricardo Miguel Moreira da Costa" "Defender" 21 4
"5939" "2012-13" "Valencia" "Alberto Facundo Costa" "Midfielder" 20 1
"5940" "2012-13" "Valencia" "Sofiane Feghouli" "Midfielder" 17 3
"5941" "2012-13" "Valencia" "Ever Maximiliano David Banega" "Midfielder" 12 4
"5942" "2012-13" "Valencia" "Roberto Soldado Rillo" "Forward" 25 24
"5943" "2012-13" "Valencia" "Jonas Gonáalves Oliveira" "Forward" 12 13
"5944" "2012-13" "Valencia" "JosÇ AndrÇs Guardado Hern†ndez" "Forward" 21 1
"5945" "2012-13" "Valencia" "Daniel Parejo Mu§oz" "Midfielder" 18 1
"5946" "2012-13" "Valencia" "V°ctor Ruiz Torre" "Defender" 15 0
"5947" "2012-13" "Valencia" "David Albelda AliquÇs" "Midfielder" 2 0
"5948" "2012-13" "Valencia" "Nelson Antonio Haedo Valdez" "Forward" 2 6
"5949" "2012-13" "Valencia" "Jeremy Mathieu" "Midfielder" 13 1
"5950" "2012-13" "Valencia" "Jonathan Viera Ramos" "Forward" 4 2
"5951" "2012-13" "Valencia" "Antonio Barrag†n Fern†ndez" "Midfielder" 9 0
"5952" "2012-13" "Valencia" "Pablo Daniel Piatti" "Forward" 2 1
"5953" "2012-13" "Valencia" "Fernando RubÇn Gago" "Midfielder" 8 0
"5956" "2012-13" "M†laga" "Jes£s G†mez Duarte" "Midfielder" 26 0
"5957" "2012-13" "M†laga" "Mart°n Gast¢n Demichelis" "Defender" 28 3
"5958" "2012-13" "M†laga" "Weligton Robson Pena De Oliveira" "Defender" 33 2
"5959" "2012-13" "M†laga" "Sergio S†nchez Ortega" "Defender" 12 0
"5960" "2012-13" "M†laga" "Ignacio Camacho Barnola" "Midfielder" 26 2
"5961" "2012-13" "M†laga" "Eliseu Pereira Dos Santos" "Midfielder" 19 1
"5962" "2012-13" "M†laga" "Francisco Portillo Soler" "Midfielder" 11 2
"5963" "2012-13" "M†laga" "Francisco Rom†n Alarc¢n Su†rez" "Forward" 23 9
"5964" "2012-13" "M†laga" "Joaqu°n S†nchez Rodr°guez" "Forward" 9 4
"5965" "2012-13" "M†laga" "Javier Pedro Saviola Fern†ndez" "Forward" 2 8
"5966" "2012-13" "M†laga" "Roque Luis Santa Cruz Cantero" "Forward" 10 9
"5967" "2012-13" "M†laga" "Manuel Rolando Iturra Urrutia" "Midfielder" 8 0
"5968" "2012-13" "M†laga" "Jeremy Toulalan" "Midfielder" 13 0
"5969" "2012-13" "M†laga" "Ignacio Monreal Eraso" "Midfielder" 12 1
"5970" "2012-13" "M†laga" "Julio CÇsar Clemente Baptista" "Forward" 6 4
"5971" "2012-13" "M†laga" "Sebasti†n Bruno Fern†ndez Miglierina" "Forward" 1 0
"5972" "2012-13" "M†laga" "Sergio Paulo Barbosa Valente" "Midfielder" 2 0
"5973" "2012-13" "M†laga" "Diego Alfredo Lugano Moreno" "Defender" 10 0
"5974" "2012-13" "M†laga" "Vitorino Gabriel Pacheco Antunes" "Midfielder" 10 1
"5975" "2012-13" "M†laga" "Gustavo Lucas Domingues Piazon" "Midfielder" 1 0
"5976" "2012-13" "M†laga" "Pedro AndrÇs Morales Flores" "Forward" 1 3
"5977" "2012-13" "M†laga" "Onyewu Oguchialu Chijioke" "Defender" 1 0
"5980" "2012-13" "Betis" "Francisco Javier Chica Torres" "Midfielder" 21 0
"5981" "2012-13" "Betis" "Paulo Afonso Santos J£nior" "Defender" 15 2
"5982" "2012-13" "Betis" "Antonio Amaya Carazo" "Defender" 24 0
"5983" "2012-13" "Betis" "Be§at Etxebarr°a Urkiaga" "Midfielder" 22 4
"5984" "2012-13" "Betis" "Ignacio PÇrez Santamaria" "Midfielder" 25 0
"5985" "2012-13" "Betis" "JosÇ Alberto Ca§as Ruiz-Herrera" "Midfielder" 23 0
"5986" "2012-13" "Betis" "Juan Carlos PÇrez L¢pez" "Midfielder" 2 0
"5987" "2012-13" "Betis" "RubÇn Castro Mart°n" "Forward" 32 18
"5988" "2012-13" "Betis" "Jorge Molina Vidal" "Forward" 13 13
"5989" "2012-13" "Betis" "Joel Nathaniel Campbell Samuels" "Forward" 5 2
"5990" "2012-13" "Betis" "RubÇn Salvador PÇrez Del M†rmol" "Midfielder" 14 1
"5991" "2012-13" "Betis" "Pedro Mario µlvarez Abrante" "Defender" 14 1
"5992" "2012-13" "Betis" "Salvador Sevilla L¢pez" "Forward" 2 2
"5993" "2012-13" "Betis" "Dorlan Mauricio Pabon R°os" "Forward" 8 8
"5994" "2012-13" "Betis" "Alejandro Mart°nez S†nchez" "Midfielder" 11 0
"5995" "2012-13" "Betis" "Emmanuel Nosakhare Igiebor" "Midfielder" 2 1
"5996" "2012-13" "Betis" "µngel Domingo L¢pez Ruano" "Midfielder" 7 1
"5998" "2012-13" "Betis" "NÇlson Augusto Tomar Marcos" "Defender" 9 0
"5999" "2012-13" "Betis" "Damien Perquis" "Defender" 5 0
"6001" "2012-13" "Betis" "Salvador JosÇ Milhazes Agra" "Forward" 2 1
"6002" "2012-13" "Betis" "Alejandro Pozuelo Melero" "Forward" 1 1
"6003" "2012-13" "Betis" "JosÇ Antonio Dorado Ram°rez" "Midfielder" 5 0
"6004" "2012-13" "Betis" "Jonathan Pereira Rodr°guez" "Forward" 1 0
"6010" "2012-13" "Rayo Vallecano" "Roberto Rom†n Triguero" "Midfielder" 28 1
"6011" "2012-13" "Rayo Vallecano" "JosÇ Manuel Casado Bizcocho" "Midfielder" 19 0
"6012" "2012-13" "Rayo Vallecano" "Jordi Amat Maas" "Defender" 20 1
"6013" "2012-13" "Rayo Vallecano" "Javier Fuego Mart°nez" "Midfielder" 32 0
"6014" "2012-13" "Rayo Vallecano" "Roberto Trashorras Gayoso" "Midfielder" 23 1
"6015" "2012-13" "Rayo Vallecano" "Alejandro G†lvez Jimena" "Midfielder" 22 0
"6016" "2012-13" "Rayo Vallecano" "Francisco Medina Luna" "Forward" 21 18
"6017" "2012-13" "Rayo Vallecano" "Alejandro Dami†n Dom°nguez" "Forward" 18 5
"6018" "2012-13" "Rayo Vallecano" "Leonardo Carrilho Baptistao" "Forward" 16 7
"6019" "2012-13" "Rayo Vallecano" "JosÇ Carlos Fern†ndez V†zquez" "Forward" 12 2
"6020" "2012-13" "Rayo Vallecano" "Alhassane Bangoura" "Forward" 11 3
"6021" "2012-13" "Rayo Vallecano" "Andrija Delibasic" "Forward" 6 6
"6022" "2012-13" "Rayo Vallecano" "Adri†n Gonz†lez Morales" "Midfielder" 4 0
"6023" "2012-13" "Rayo Vallecano" "Franco Dami†n V†zquez" "Forward" 2 3
"6024" "2012-13" "Rayo Vallecano" "Jordi Figueras Montel" "Defender" 12 0
"6025" "2012-13" "Rayo Vallecano" "Anaitz Arbilla Zabala" "Defender" 6 0
"6026" "2012-13" "Rayo Vallecano" "JosÇ Ignacio Mart°nez Garc°a" "Defender" 7 1
"6027" "2012-13" "Rayo Vallecano" "Mikel Labaka Zurriarain" "Defender" 5 0
"6028" "2012-13" "Rayo Vallecano" "Nicki Bille Nielsen" "Forward" 2 0
"6029" "2012-13" "Rayo Vallecano" "Sergio Rodr°guez Garc°a" "Defender" 1 0
"6036" "2012-13" "Sevilla" "Alex Sandro Mendonáa Dos Santos" "Midfielder" 15 1
"6037" "2012-13" "Sevilla" "Fernando Navarro Corbacho" "Midfielder" 33 0
"6038" "2012-13" "Sevilla" "Federico Juli†n Fazio" "Defender" 21 3
"6039" "2012-13" "Sevilla" "Emir Spahic" "Defender" 20 1
"6040" "2012-13" "Sevilla" "Ivan Rakitic" "Midfielder" 23 8
"6041" "2012-13" "Sevilla" "Gary Alexis Medel Soto" "Midfielder" 23 6
"6042" "2012-13" "Sevilla" "Geoffrey Kondogbia" "Midfielder" 9 1
"6043" "2012-13" "Sevilla" "Jes£s Navas Gonz†lez" "Forward" 36 0
"6044" "2012-13" "Sevilla" "µlvaro Negredo S†nchez" "Forward" 26 25
"6045" "2012-13" "Sevilla" "JosÇ Antonio Reyes Calder¢n" "Forward" 4 4
"6046" "2012-13" "Sevilla" "Hedwiges Mart°nez Maduro" "Midfielder" 5 0
"6047" "2012-13" "Sevilla" "Jorge And£jar Moreno" "Midfielder" 9 3
"6048" "2012-13" "Sevilla" "Alberto Tom†s Bot°a Rabasco" "Defender" 9 1
"6049" "2012-13" "Sevilla" "Manuel Del Moral Fern†ndez" "Forward" 1 1
"6050" "2012-13" "Sevilla" "Papa Babacar Diawara" "Forward" 2 0
"6051" "2012-13" "Sevilla" "Alberto Moreno PÇrez" "Midfielder" 11 0
"6052" "2012-13" "Sevilla" "Diego Perotti" "Midfielder" 1 0
"6053" "2012-13" "Sevilla" "Juan Torres Ruiz" "Defender" 7 0
"6055" "2012-13" "Sevilla" "Piotr Trochowski" "Midfielder" 1 2
"6061" "2012-13" "Getafe" "Juan Valera Esp°n" "Midfielder" 27 2
"6062" "2012-13" "Getafe" "Miguel Torres G¢mez" "Midfielder" 19 0
"6063" "2012-13" "Getafe" "Alexis Ruano Delgado" "Defender" 23 3
"6064" "2012-13" "Getafe" "Alberto Lopo Garc°a" "Defender" 17 1
"6065" "2012-13" "Getafe" "Xavier Torres Buigues" "Midfielder" 26 0
"6066" "2012-13" "Getafe" "Abdelaziz Barrada" "Midfielder" 14 4
"6067" "2012-13" "Getafe" "µngel Lafita Castillo" "Midfielder" 10 2
"6068" "2012-13" "Getafe" "Diego Castro JimÇnez" "Forward" 23 7
"6069" "2012-13" "Getafe" "Pedro Le¢n S†nchez Gil" "Forward" 16 3
"6070" "2012-13" "Getafe" "Adri†n Colunga PÇrez" "Forward" 5 6
"6071" "2012-13" "Getafe" "Rafael L¢pez G¢mez" "Defender" 14 1
"6072" "2012-13" "Getafe" "Jaime Gavil†n Mart°nez" "Midfielder" 2 0
"6073" "2012-13" "Getafe" "Mehdi Gregory Giuseppe Lacen" "Midfielder" 5 0
"6074" "2012-13" "Getafe" "Miguel Marcos Madera" "Midfielder" 6 0
"6075" "2012-13" "Getafe" "Borja Fern†ndez Fern†ndez" "Midfielder" 6 1
"6076" "2012-13" "Getafe" "Francisco Alc†cer Garc°a" "Forward" 1 3
"6077" "2012-13" "Getafe" "JosÇ Manuel JimÇnez Ortiz" "Midfielder" 10 1
"6078" "2012-13" "Getafe" "Federico Fern†ndez" "Defender" 12 1
"6079" "2012-13" "Getafe" "David µngel Abraham" "Defender" 8 0
"6080" "2012-13" "Getafe" "Pablo Sarabia Garc°a" "Midfielder" 2 1
"6081" "2012-13" "Getafe" "Juan Antonio Rodr°guez Villamuela" "Midfielder" 5 2
"6082" "2012-13" "Getafe" "Sergio Escudero Palomo" "Defender" 7 1
"6084" "2012-13" "Getafe" "Nicol†s Ladislao Fedor Flores" "Forward" 1 0
"6085" "2012-13" "Levante" "Christian Lell" "Midfielder" 17 2
"6086" "2012-13" "Levante" "Juan Francisco Garc°a Garc°a" "Midfielder" 26 0
"6087" "2012-13" "Levante" "David Navarro Pedr¢s" "Defender" 33 1
"6088" "2012-13" "Levante" "Sergio Mart°nez Ballesteros" "Defender" 25 0
"6089" "2012-13" "Levante" "Vicente Iborra De la Fuente" "Midfielder" 30 4
"6090" "2012-13" "Levante" "Papakouly Diop" "Midfielder" 17 0
"6091" "2012-13" "Levante" "JosÇ Javier Barkero Saludes" "Midfielder" 17 5
"6092" "2012-13" "Levante" "RubÇn Garc°a Santos" "Midfielder" 11 4
"6093" "2012-13" "Levante" "Nabil El Zhar" "Forward" 3 2
"6094" "2012-13" "Levante" "Miguel Alfonso Herrero Javaloyas" "Forward" 4 5
"6095" "2012-13" "Levante" "Pedro R°os Maestre" "Forward" 4 2
"6096" "2012-13" "Levante" "Juan Luis G¢mez L¢pez" "Midfielder" 7 2
"6097" "2012-13" "Levante" "Obafemi Akinwunmi Martins" "Forward" 16 7
"6098" "2012-13" "Levante" "Pedro L¢pez Mu§oz" "Midfielder" 14 0
"6099" "2012-13" "Levante" "Loukas Vyntra" "Defender" 15 0
"6100" "2012-13" "Levante" "Robert Acquafresca" "Forward" 4 3
"6101" "2012-13" "Levante" "HÇctor Rodas Ram°rez" "Defender" 5 0
"6102" "2012-13" "Levante" "Valmiro Lopes Rocha" "Midfielder" 3 0
"6103" "2012-13" "Levante" "Nikolaos Karabelas" "Midfielder" 5 0
"6106" "2012-13" "Levante" "Theofanis Gekas" "Forward" 1 0
"6107" "2012-13" "Levante" "Simao Mate Junior" "Midfielder" 1 0
"6109" "2012-13" "Levante" "Dariusz Dudka" "Midfielder" 1 0
"6110" "2012-13" "Athletic Club" "Andoni Iraola Sagarna" "Midfielder" 33 0
"6111" "2012-13" "Athletic Club" "Jon Aurtenetxe Borde" "Midfielder" 17 1
"6112" "2012-13" "Athletic Club" "Mikel San JosÇ Dom°nguez" "Defender" 19 5
"6113" "2012-13" "Athletic Club" "Markel Susaeta Laskurain" "Midfielder" 28 7
"6114" "2012-13" "Athletic Club" "Ander Herrera AgÅera" "Midfielder" 20 1
"6115" "2012-13" "Athletic Club" "Ander Iturraspe Derteano" "Midfielder" 19 0
"6116" "2012-13" "Athletic Club" "Carlos Gurpegui Nausia" "Midfielder" 20 1
"6117" "2012-13" "Athletic Club" "‡scar De Marcos Arana" "Forward" 32 6
"6118" "2012-13" "Athletic Club" "Aritz Aduriz Zubeldia" "Forward" 13 14
"6119" "2012-13" "Athletic Club" "Iker Muniain Go§i" "Forward" 9 1
"6120" "2012-13" "Athletic Club" "Ibai G¢mez PÇrez" "Forward" 10 4
"6121" "2012-13" "Athletic Club" "Borja Ekiza Imaz" "Defender" 22 0
"6122" "2012-13" "Athletic Club" "Fernando Javier Llorente Torres" "Forward" 2 4
"6123" "2012-13" "Athletic Club" "Aymeric Laporte" "Defender" 12 0
"6124" "2012-13" "Athletic Club" "Fernando Gabriel Amorebieta Mardaras" "Defender" 8 0
"6126" "2012-13" "Athletic Club" "Ismael L¢pez Blanco" "Forward" 3 0
"6127" "2012-13" "Athletic Club" "Jon†s Ramalho Chimeno" "Defender" 1 0
"6128" "2012-13" "Athletic Club" "Xabier Castillo Aranburu" "Midfielder" 1 0
"6129" "2012-13" "Athletic Club" "I§igo PÇrez Soto" "Midfielder" 2 0
"6133" "2012-13" "Espanyol" "Juan Daniel Forl°n" "Defender" 26 0
"6134" "2012-13" "Espanyol" "Joan Capdevila MÇndez" "Midfielder" 23 0
"6135" "2012-13" "Espanyol" "HÇctor Alfredo Moreno Herrera" "Defender" 29 2
"6136" "2012-13" "Espanyol" "Diego Daniel Colotto" "Defender" 26 2
"6137" "2012-13" "Espanyol" "Joan Verd£ Fern†ndez" "Midfielder" 19 9
"6138" "2012-13" "Espanyol" "V°ctor S†nchez Mata" "Midfielder" 25 1
"6139" "2012-13" "Espanyol" "Javier L¢pez Rodr°guez" "Midfielder" 24 1
"6140" "2012-13" "Espanyol" "Wakaso Mubarak" "Midfielder" 6 3
"6141" "2012-13" "Espanyol" "Sergio Garc°a De la Fuente" "Forward" 23 7
"6142" "2012-13" "Espanyol" "Christian Ricardo Stuani Curbelo" "Forward" 16 7
"6143" "2012-13" "Espanyol" "Simao Pedro Fonseca Sabrosa" "Midfielder" 7 3
"6144" "2012-13" "Espanyol" "Ra£l Rodr°guez Navarro" "Defender" 17 0
"6145" "2012-13" "Espanyol" "V°ctor Guillermo µlvarez Delgado" "Defender" 10 0
"6146" "2012-13" "Espanyol" "JosÇ Ra£l Baena Urdiales" "Midfielder" 6 1
"6147" "2012-13" "Espanyol" "Samuele Longo" "Forward" 4 3
"6148" "2012-13" "Espanyol" "Cristian G¢mez Garc°a" "Midfielder" 2 0
"6151" "2012-13" "Espanyol" "Rui Pedro da Rocha Fonte" "Forward" 1 0
"6152" "2012-13" "Espanyol" "Felipe Mattioni Rohde" "Defender" 2 0
"6154" "2012-13" "Espanyol" "Juan µngel Alb°n Leites" "Midfielder" 1 1
"6155" "2012-13" "Valladolid" "Antonio Rukavina" "Midfielder" 36 1
"6156" "2012-13" "Valladolid" "Mikel Balenziaga Oruesagasti" "Midfielder" 30 0
"6157" "2012-13" "Valladolid" "Marc Valiente Hern†ndez" "Defender" 26 0
"6158" "2012-13" "Valladolid" "µlvaro Rubio Robres" "Midfielder" 18 0
"6159" "2012-13" "Valladolid" "‡scar Javier Gonz†lez Marcos" "Midfielder" 24 12
"6160" "2012-13" "Valladolid" "Juli†n Omar Ramos Su†rez" "Midfielder" 13 1
"6161" "2012-13" "Valladolid" "Jes£s Rueda Ambrosio" "Midfielder" 25 0
"6162" "2012-13" "Valladolid" "V°ctor PÇrez Alonso" "Midfielder" 24 4
"6163" "2012-13" "Valladolid" "Patrick Ebert" "Forward" 14 6
"6164" "2012-13" "Valladolid" "Mateus Alberto Contreiras Gonáalves" "Forward" 7 8
"6165" "2012-13" "Valladolid" "Javier Guerra Rodr°guez" "Forward" 11 8
"6166" "2012-13" "Valladolid" "Alberto Bueno Calvo" "Forward" 3 5
"6167" "2012-13" "Valladolid" "Llu°s Sastre Reus" "Midfielder" 9 1
"6168" "2012-13" "Valladolid" "Henrique Sereno Fonseca" "Defender" 16 1
"6169" "2012-13" "Valladolid" "Daniel Alexander Larsson" "Midfielder" 7 0
"6170" "2012-13" "Valladolid" "Carlos Gonz†lez Pe§a" "Midfielder" 11 0
"6176" "2012-13" "Granada" "Allan Romeo Nyom" "Defender" 27 0
"6177" "2012-13" "Granada" "Guilherme Madalena Siqueira" "Defender" 30 6
"6178" "2012-13" "Granada" "Diego Mainz Garc°a" "Defender" 26 1
"6179" "2012-13" "Granada" "I§igo L¢pez Monta§a" "Defender" 21 0
"6180" "2012-13" "Granada" "Mikel Rico Moreno" "Midfielder" 35 2
"6181" "2012-13" "Granada" "Yacine Nasr Eddine Brahimi" "Midfielder" 10 0
"6182" "2012-13" "Granada" "Iriney Santos Da Silva" "Midfielder" 13 0
"6183" "2012-13" "Granada" "Gabriel Torje" "Forward" 9 3
"6184" "2012-13" "Granada" "Youssef El Arabi" "Forward" 8 8
"6185" "2012-13" "Granada" "Odion Jude Ighalo" "Forward" 12 5
"6186" "2012-13" "Granada" "Pape Malickou DiakhatÇ" "Defender" 14 0
"6187" "2012-13" "Granada" "Manuel Agudo Dur†n" "Forward" 10 3
"6188" "2012-13" "Granada" "Juan Manuel Ortiz Palaz¢n" "Midfielder" 4 0
"6189" "2012-13" "Granada" "Borja G¢mez PÇrez" "Defender" 11 0
"6190" "2012-13" "Granada" "Brayan Alexis Angulo Le¢n" "Defender" 3 1
"6191" "2012-13" "Granada" "Daniel Gonz†lez Ben°tez" "Midfielder" 6 1
"6192" "2012-13" "Granada" "Antonio Mariano Floro Flores" "Forward" 3 1
"6194" "2012-13" "Granada" "Manuel Lucena Medina" "Defender" 1 0
"6198" "2012-13" "Osasuna" "DamiÖ Abella PÇrez" "Midfielder" 22 0
"6199" "2012-13" "Osasuna" "Oier Sanjurjo MatÇ" "Midfielder" 22 0
"6200" "2012-13" "Osasuna" "Miguel Fla§o Bezunartea" "Defender" 20 0
"6201" "2012-13" "Osasuna" "Alejandro Arribas Garrido" "Defender" 28 2
"6202" "2012-13" "Osasuna" "Marc Bertr†n Vilanova" "Midfielder" 20 0
"6203" "2012-13" "Osasuna" "Emiliano Daniel Armenteros" "Midfielder" 22 3
"6204" "2012-13" "Osasuna" "µlvaro Cejudo Carmona" "Midfielder" 6 3
"6205" "2012-13" "Osasuna" "Raoul Cedric LoÇ" "Midfielder" 14 2
"6206" "2012-13" "Osasuna" "Enrique Sola Clemente" "Forward" 11 9
"6207" "2012-13" "Osasuna" "Juan Francisco Mart°nez Modesto" "Forward" 13 3
"6208" "2012-13" "Osasuna" "Manuel Jes£s Ortiz Toribio" "Defender" 14 1
"6209" "2012-13" "Osasuna" "Francisco Pu§al Mart°nez" "Midfielder" 11 1
"6210" "2012-13" "Osasuna" "Fernando Macedo Da Silva Rodilla" "Midfielder" 13 0
"6211" "2012-13" "Osasuna" "Joseba Llorente Etxarri" "Forward" 1 1
"6212" "2012-13" "Osasuna" "RubÇn Gonz†lez Rocha" "Defender" 12 0
"6213" "2012-13" "Osasuna" "Miguel µngel De las Cuevas Barber†" "Midfielder" 2 1
"6214" "2012-13" "Osasuna" "Francisco AndrÇs Silva Gajardo" "Midfielder" 11 1
"6215" "2012-13" "Osasuna" "David Timor Copov°" "Midfielder" 7 1
"6216" "2012-13" "Osasuna" "Sisinio Gonz†lez Mart°nez" "Midfielder" 4 0
"6217" "2012-13" "Osasuna" "Roland Conde Lamah" "Forward" 4 2
"6218" "2012-13" "Osasuna" "Masoud Shojaei Soleimani" "Forward" 1 1
"6219" "2012-13" "Osasuna" "Anthony Gildas Kofi Annan" "Midfielder" 2 0
"6220" "2012-13" "Osasuna" "Roberto Torres Morales" "Midfielder" 1 1
"6223" "2012-13" "Osasuna" "Unai Garc°a Lugea" "Defender" 1 0
"6225" "2012-13" "Celta de Vigo" "AndrÇs JosÇ T£§ez Arceo" "Defender" 30 0
"6226" "2012-13" "Celta de Vigo" "Roberto Lago Soto" "Midfielder" 28 0
"6227" "2012-13" "Celta de Vigo" "Gustavo Daniel Cabral" "Defender" 23 2
"6228" "2012-13" "Celta de Vigo" "Jonathan Castro Otto" "Defender" 14 0
"6229" "2012-13" "Celta de Vigo" "Augusto Mat°as Fern†ndez" "Midfielder" 17 6
"6230" "2012-13" "Celta de Vigo" "Borja Oubi§a MelÇndez" "Midfielder" 35 1
"6231" "2012-13" "Celta de Vigo" "Michael Krohn-Dehli" "Midfielder" 24 1
"6232" "2012-13" "Celta de Vigo" "Iago Aspas Juncal" "Forward" 19 12
"6233" "2012-13" "Celta de Vigo" "Alejandro L¢pez S†nchez" "Forward" 13 2
"6234" "2012-13" "Celta de Vigo" "Mario Bermejo Castanedo" "Forward" 5 5
"6235" "2012-13" "Celta de Vigo" "Hugo Mallo Novegil" "Defender" 17 0
"6236" "2012-13" "Celta de Vigo" "Ignacio Insa Bohigues" "Midfielder" 6 2
"6237" "2012-13" "Celta de Vigo" "Enrique De Lucas Mart°nez" "Midfielder" 1 3
"6238" "2012-13" "Celta de Vigo" "Park Chu Young" "Forward" 2 3
"6239" "2012-13" "Celta de Vigo" "Jonathan Vila Pereira" "Midfielder" 10 0
"6240" "2012-13" "Celta de Vigo" "Carlos Bellv°s Llorens" "Midfielder" 6 0
"6241" "2012-13" "Celta de Vigo" "Vadim Sergeievich Demidov" "Defender" 10 0
"6243" "2012-13" "Celta de Vigo" "Danijel Pranjic" "Midfielder" 2 0
"6245" "2012-13" "Celta de Vigo" "Levy Clement Madinda" "Midfielder" 1 0
"6249" "2012-13" "Mallorca" "Pedro Tonon Geromel" "Defender" 27 1
"6250" "2012-13" "Mallorca" "Pedro Bigas Rigo" "Defender" 22 1
"6251" "2012-13" "Mallorca" "JosÇ Carlos De Araujo Nunes" "Defender" 20 0
"6252" "2012-13" "Mallorca" "Tom†s Pina Isla" "Midfielder" 23 0
"6253" "2012-13" "Mallorca" "Javier M†rquez Moreno" "Midfielder" 7 3
"6254" "2012-13" "Mallorca" "Josep Llu°s Mart° Soler" "Midfielder" 9 1
"6255" "2012-13" "Mallorca" "V°ctor Manuel Casades£s Casta§o" "Forward" 20 8
"6256" "2012-13" "Mallorca" "Tomer Hemed" "Forward" 19 11
"6257" "2012-13" "Mallorca" "Giovani Dos Santos Ram°rez" "Forward" 19 6
"6258" "2012-13" "Mallorca" "Emilio Nsue L¢pez" "Forward" 16 2
"6259" "2012-13" "Mallorca" "Michael Pereira" "Forward" 10 1
"6260" "2012-13" "Mallorca" "Alejandro Alfaro Ligero" "Forward" 4 6
"6261" "2012-13" "Mallorca" "Alan Hutton" "Defender" 16 0
"6262" "2012-13" "Mallorca" "Anderson Conceiáao Benedito" "Defender" 13 0
"6263" "2012-13" "Mallorca" "Joaqu°n Navarro JimÇnez" "Midfielder" 7 0
"6264" "2012-13" "Mallorca" "Fernando Dami†n Tissone" "Midfielder" 7 0
